Threshold,1 Permission,2 Permission,3 Permission,4 Permission,Combined
1.00,0.6842105263157895,0.45454545454545453,0.16666666666666666,0.125,0.40298507462686567
1.10,0.6842105263157895,0.45454545454545453,0.17647058823529413,0.125,0.4090909090909091
1.20,0.6842105263157895,0.45454545454545453,0.1875,0.125,0.4153846153846154
1.30,0.6842105263157895,0.45454545454545453,0.1875,0.2,0.43548387096774194
1.40,0.6842105263157895,0.45454545454545453,0.1875,0.2,0.43548387096774194
1.50,0.6842105263157895,0.45454545454545453,0.1875,0.2,0.43548387096774194
1.60,0.6842105263157895,0.45454545454545453,0.13333333333333333,0.2,0.4262295081967213
1.70,0.6842105263157895,0.45454545454545453,0.13333333333333333,0.2,0.4262295081967213
1.80,0.6842105263157895,0.45454545454545453,0.13333333333333333,0.2,0.4262295081967213
1.90,0.6842105263157895,0.45454545454545453,0.15384615384615385,0.2,0.4406779661016949
2.00,0.6842105263157895,0.47619047619047616,0.15384615384615385,0.2,0.4482758620689655
2.10,0.6842105263157895,0.47619047619047616,0.15384615384615385,0.2,0.4482758620689655
2.20,0.7222222222222222,0.47619047619047616,0.16666666666666666,0.25,0.4727272727272727
2.30,0.7222222222222222,0.5,0.16666666666666666,0.25,0.48148148148148145
2.40,0.7222222222222222,0.5263157894736842,0.16666666666666666,0.25,0.49056603773584906
2.50,0.7222222222222222,0.5263157894736842,0.16666666666666666,0.25,0.49056603773584906
2.60,0.7222222222222222,0.5,0.16666666666666666,0.25,0.4807692307692308
2.70,0.7222222222222222,0.47058823529411764,0.16666666666666666,0.25,0.47058823529411764
2.80,0.7222222222222222,0.5,0.16666666666666666,0.25,0.48
2.90,0.7222222222222222,0.5,0.18181818181818182,0.3333333333333333,0.5
3.00,0.7222222222222222,0.5,0.2,0.3333333333333333,0.5106382978723404
3.10,0.7647058823529411,0.5,0.2,0.3333333333333333,0.5217391304347826
3.20,0.7647058823529411,0.5,0.2,0.3333333333333333,0.5217391304347826
3.30,0.8125,0.5,0.2222222222222222,0.3333333333333333,0.5454545454545454
3.40,0.8125,0.5714285714285714,0.2222222222222222,0.3333333333333333,0.5714285714285714
3.50,0.8125,0.6153846153846154,0.2222222222222222,0.5,0.6
3.60,0.8,0.6666666666666666,0.25,0.5,0.6216216216216216
3.70,0.8,0.6666666666666666,0.2857142857142857,0.5,0.6388888888888888
3.80,0.7692307692307693,0.6363636363636364,0.2857142857142857,0.5,0.6060606060606061
3.90,0.75,0.7,0.2857142857142857,0.5,0.6129032258064516
4.00,0.8,0.75,0.2857142857142857,1.0,0.6538461538461539
4.10,0.7777777777777778,0.75,0.3333333333333333,1.0,0.6666666666666666
4.20,0.7777777777777778,0.7142857142857143,0.3333333333333333,1.0,0.6521739130434783
4.30,0.75,0.7142857142857143,0.3333333333333333,1.0,0.6363636363636364
4.40,0.8571428571428571,0.7142857142857143,0.3333333333333333,1.0,0.7222222222222222
4.50,0.8571428571428571,0.7142857142857143,0.3333333333333333,1.0,0.7222222222222222
4.60,0.8571428571428571,0.7142857142857143,0.3333333333333333,1.0,0.7222222222222222
4.70,0.8571428571428571,0.8333333333333334,0.5,1.0,0.8125
4.80,0.8571428571428571,0.8333333333333334,0.5,1.0,0.8125
4.90,0.8333333333333334,0.75,0.5,1.0,0.7692307692307693
5.00,0.8333333333333334,0.75,0.5,1.0,0.7692307692307693
5.10,1.0,0.75,0.5,1.0,0.8333333333333334
5.20,1.0,1.0,0.5,1.0,0.9090909090909091
5.30,1.0,1.0,0.5,1.0,0.9
5.40,1.0,1.0,0.5,1.0,0.9
5.50,1.0,1.0,1.0,1.0,1.0
5.60,1.0,1.0,1.0,1.0,1.0
5.70,1.0,1.0,1.0,1.0,1.0
5.80,1.0,1.0,1.0,1.0,1.0
5.90,1.0,1.0,1.0,1.0,1.0
6.00,1.0,1.0,1.0,1.0,1.0
6.10,1.0,1.0,1.0,1.0,1.0
6.20,1.0,1.0,1.0,1.0,1.0
6.30,1.0,1.0,1.0,1.0,1.0
6.40,1.0,1.0,1.0,1.0,1.0
6.50,1.0,1.0,1.0,1.0,1.0
6.60,1.0,1.0,1.0,1.0,1.0
6.70,1.0,1.0,1.0,1.0,1.0
6.80,1.0,1.0,1.0,1.0,1.0
6.90,1.0,1.0,1.0,1.0,1.0
7.00,1.0,1.0,1.0,1.0,1.0
