Threshold,1 Permission,2 Permission,3 Permission,4 Permission,Combined
1.00,0.5999999999999999,0.44000000000000006,0.26
1.50,0.625,0.4782608695652174,0.2758152173913043
2.00,0.6521739130434784,0.5499999999999999,0.3005434782608696
2.50,0.6521739130434784,0.5789473684210528,0.3077803203661328
3.00,0.75,0.6470588235294119,0.349264705882353
3.50,0.7894736842105264,0.7333333333333333,0.38070175438596493
4.00,0.8666666666666669,0.8333333333333333,0.42500000000000004
4.50,0.846153846153846,0.8888888888888891,0.4337606837606838
5.00,0.8181818181818181,0.8333333333333333,0.41287878787878785
5.50,0.857142857142857,0.6666666666666667,0.38095238095238093
6.00,1.0,1.0,0.5
6.50,1.0,1.0,0.5
