Threshold,1 Permission,2 Permission,3 Permission,4 Permission,Combined
1.00,0.631578947368421,0.4782608695652174,0.25,0.125,0.4142857142857143
1.10,0.631578947368421,0.4782608695652174,0.2631578947368421,0.125,0.42028985507246375
1.20,0.631578947368421,0.4782608695652174,0.2631578947368421,0.125,0.42028985507246375
1.30,0.631578947368421,0.4782608695652174,0.2631578947368421,0.125,0.42028985507246375
1.40,0.631578947368421,0.5,0.2777777777777778,0.125,0.43283582089552236
1.50,0.631578947368421,0.5,0.29411764705882354,0.125,0.4393939393939394
1.60,0.631578947368421,0.5,0.3125,0.16666666666666666,0.4603174603174603
1.70,0.6666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.47540983606557374
1.80,0.6666666666666666,0.5,0.2857142857142857,0.16666666666666666,0.4666666666666667
1.90,0.6666666666666666,0.5,0.2857142857142857,0.16666666666666666,0.4666666666666667
2.00,0.6666666666666666,0.5238095238095238,0.2857142857142857,0.2,0.4827586206896552
2.10,0.6666666666666666,0.5238095238095238,0.2857142857142857,0.2,0.4827586206896552
2.20,0.6666666666666666,0.55,0.3333333333333333,0.2,0.509090909090909
2.30,0.6666666666666666,0.55,0.36363636363636365,0.2,0.5185185185185185
2.40,0.6666666666666666,0.55,0.36363636363636365,0.2,0.5185185185185185
2.50,0.6666666666666666,0.5263157894736842,0.36363636363636365,0.25,0.5192307692307693
2.60,0.6470588235294118,0.5,0.36363636363636365,0.25,0.5
2.70,0.6470588235294118,0.5,0.36363636363636365,0.25,0.5
2.80,0.6470588235294118,0.5,0.36363636363636365,0.25,0.5
2.90,0.6470588235294118,0.5,0.36363636363636365,0.25,0.5
3.00,0.6470588235294118,0.5,0.36363636363636365,0.25,0.5
3.10,0.6470588235294118,0.5,0.4,0.25,0.5102040816326531
3.20,0.6470588235294118,0.5,0.4,0.3333333333333333,0.5208333333333334
3.30,0.7333333333333333,0.5625,0.4444444444444444,0.3333333333333333,0.5813953488372093
3.40,0.7333333333333333,0.5333333333333333,0.4444444444444444,0.3333333333333333,0.5714285714285714
3.50,0.7333333333333333,0.5333333333333333,0.4444444444444444,0.3333333333333333,0.5714285714285714
3.60,0.7333333333333333,0.5714285714285714,0.4444444444444444,0.0,0.5897435897435898
3.70,0.7857142857142857,0.5714285714285714,0.42857142857142855,0.0,0.6111111111111112
3.80,0.7857142857142857,0.5714285714285714,0.5,0.0,0.6285714285714286
3.90,0.7857142857142857,0.5384615384615384,0.5,0.0,0.6176470588235294
4.00,0.7857142857142857,0.6363636363636364,0.6,0.0,0.6774193548387096
4.10,0.7857142857142857,0.6363636363636364,0.6,0.0,0.6774193548387096
4.20,0.75,0.6363636363636364,0.6,0.0,0.6551724137931034
4.30,0.75,0.6,0.6,0.0,0.6428571428571429
4.40,0.8,0.6,0.75,0.0,0.68
4.50,0.8,0.6,0.75,0.0,0.68
4.60,0.8,0.6,0.75,1.0,0.7083333333333334
4.70,0.8,0.6666666666666666,0.75,1.0,0.7391304347826086
4.80,0.8,0.6666666666666666,0.75,1.0,0.7391304347826086
4.90,0.8,0.625,0.75,1.0,0.7272727272727273
5.00,0.8,0.8333333333333334,1.0,1.0,0.8421052631578947
5.10,0.7777777777777778,0.8,1.0,1.0,0.8235294117647058
5.20,0.875,0.8,1.0,1.0,0.8666666666666667
5.30,1.0,0.8,1.0,1.0,0.9230769230769231
5.40,1.0,0.75,1.0,1.0,0.9166666666666666
5.50,1.0,0.75,1.0,1.0,0.9090909090909091
5.60,1.0,0.75,1.0,1.0,0.9
5.70,1.0,0.75,1.0,1.0,0.9
5.80,1.0,0.75,1.0,1.0,0.9
5.90,1.0,0.6666666666666666,1.0,1.0,0.8888888888888888
6.00,1.0,0.6666666666666666,1.0,1.0,0.8888888888888888
6.10,1.0,0.6666666666666666,1.0,1.0,0.8571428571428571
6.20,1.0,0.5,1.0,1.0,0.8333333333333334
6.30,1.0,1.0,1.0,1.0,1.0
6.40,1.0,1.0,1.0,1.0,1.0
6.50,1.0,1.0,1.0,1.0,1.0
6.60,1.0,1.0,1.0,1.0,1.0
6.70,1.0,1.0,1.0,1.0,1.0
6.80,1.0,1.0,1.0,1.0,1.0
6.90,1.0,1.0,1.0,1.0,1.0
7.00,1.0,1.0,1.0,1.0,1.0
