Threshold,1 Permission,2 Permission,3 Permission,4 Permission,Combined
1.00,0.8800000000000001,0.525,0.6666666666666667,1.0,0.7679166666666668
1.10,0.8700000000000001,0.5875,0.7,1.0,0.7893749999999999
1.20,0.8700000000000001,0.5625,0.6,1.0,0.758125
1.30,0.8799999999999999,0.6125,0.6666666666666667,1.0,0.7897916666666667
1.40,0.8900000000000002,0.5625,0.6333333333333334,1.0,0.7714583333333334
1.50,0.89,0.6,0.6666666666666667,1.0,0.7891666666666667
1.60,0.8900000000000002,0.5875,0.6333333333333334,1.0,0.7777083333333334
1.70,0.89,0.5625,0.6333333333333334,1.0,0.7714583333333334
1.80,0.8700000000000001,0.525,0.5666666666666667,1.0,0.7404166666666667
1.90,0.82,0.5875,0.7,1.0,0.776875
2.00,0.8800000000000001,0.55,0.7,1.0,0.7825
2.10,0.8700000000000001,0.575,0.6666666666666667,1.0,0.7779166666666667
2.20,0.8800000000000001,0.5625,0.6666666666666667,1.0,0.7772916666666667
2.30,0.9199999999999999,0.6875,0.5666666666666667,1.0,0.7935416666666666
2.40,0.82,0.625,0.6666666666666667,1.0,0.7779166666666666
2.50,0.7500000000000001,0.575,0.6,1.0,0.7312500000000001
2.60,0.85,0.5625,0.6333333333333334,1.0,0.7614583333333333
2.70,0.86,0.6,0.5,1.0,0.74
2.80,0.79,0.4125,0.5,1.0,0.675625
2.90,0.8400000000000002,0.525,0.5666666666666667,1.0,0.7329166666666667
3.00,0.8000000000000002,0.5875,0.5,1.0,0.721875
3.10,0.76,0.55,0.4999999999999999,1.0,0.7025
3.20,0.7,0.5375,0.33333333333333337,1.0,0.6427083333333333
3.30,0.67,0.625,0.33333333333333337,1.0,0.6570833333333334
3.40,0.6799999999999999,0.5625,0.33333333333333337,1.0,0.6439583333333333
3.50,0.5999999999999999,0.45,0.33333333333333337,1.0,0.5958333333333333
3.60,0.51,0.4875,0.33333333333333337,1.0,0.5827083333333334
3.70,0.59,0.5625,0.33333333333333337,1.0,0.6214583333333333
3.80,0.53,0.5375,0.33333333333333337,1.0,0.6002083333333333
3.90,0.52,0.425,0.33333333333333337,1.0,0.5695833333333333
4.00,0.41,0.5,0.33333333333333337,1.0,0.5608333333333333
4.10,0.45999999999999996,0.525,0.33333333333333337,1.0,0.5795833333333333
4.20,0.51,0.4375,0.33333333333333337,1.0,0.5702083333333333
4.30,0.43,0.5,0.33333333333333337,1.0,0.5658333333333333
4.40,0.47000000000000003,0.4875,0.33333333333333337,1.0,0.5727083333333334
4.50,0.51,0.4,0.33333333333333337,1.0,0.5608333333333333
4.60,0.44000000000000006,0.3625,0.33333333333333337,1.0,0.5339583333333333
4.70,0.36999999999999994,0.3625,0.33333333333333337,1.0,0.5164583333333334
4.80,0.33999999999999997,0.425,0.33333333333333337,1.0,0.5245833333333333
4.90,0.25,0.175,0.33333333333333337,1.0,0.4395833333333333
5.00,0.2699999999999999,0.175,0.33333333333333337,1.0,0.44458333333333333
5.10,0.26,0.125,0.26666666666666666,1.0,0.41291666666666665
5.20,0.26999999999999996,0.125,0.19999999999999998,1.0,0.39875
5.30,0.26,0.125,0.26666666666666666,1.0,0.41291666666666665
5.40,0.27999999999999997,0.025,0.1,0.0,0.10125
5.50,0.25,0.0125,0.26666666666666666,0.0,0.13229166666666667
5.60,0.26000000000000006,0.075,0.2333333333333333,0.0,0.14208333333333334
5.70,0.25000000000000006,0.0,0.1,0.0,0.08750000000000002
5.80,0.23000000000000004,0.0,0.03333333333333333,0.0,0.06583333333333334
5.90,0.23000000000000004,0.0,0.1,0.0,0.08250000000000002
6.00,0.22000000000000003,0.0,0.06666666666666667,0.0,0.07166666666666667
6.10,0.21999999999999997,0.0,0.0,0.0,0.05499999999999999
6.20,0.13,0.0,0.0,0.0,0.0325
6.30,0.04,0.0,0.0,0.0,0.01
6.40,0.0,0.0,0.0,0.0,0.0
6.50,0.0,0.0,0.0,0.0,0.0
6.60,0.0,0.0,0.0,0.0,0.0
6.70,0.0,0.0,0.0,0.0,0.0
6.80,0.0,0.0,0.0,0.0,0.0
6.90,0.0,0.0,0.0,0.0,0.0
7.00,0.0,0.0,0.0,0.0,0.0
