Threshold,1 Permission,2 Permission,3 Permission,4 Permission,Combined
1.00,0.6666666666666666,0.7647058823529411,0.6,1.0,0.7578431372549019
1.10,0.6666666666666666,0.7647058823529411,0.6,1.0,0.7578431372549019
1.20,0.6666666666666666,0.7647058823529411,0.6,1.0,0.7578431372549019
1.30,0.6666666666666666,0.7647058823529411,0.6,1.0,0.7578431372549019
1.40,0.6666666666666666,0.7647058823529411,0.6,1.0,0.7578431372549019
1.50,0.6666666666666666,0.7647058823529411,0.6,1.0,0.7578431372549019
1.60,0.6666666666666666,0.7647058823529411,0.6,1.0,0.7578431372549019
1.70,0.6666666666666666,0.7647058823529411,0.4,1.0,0.7078431372549019
1.80,0.6666666666666666,0.7647058823529411,0.4,1.0,0.7078431372549019
1.90,0.6666666666666666,0.7647058823529411,0.4,1.0,0.7078431372549019
2.00,0.6666666666666666,0.7647058823529411,0.4,1.0,0.7078431372549019
2.10,0.6666666666666666,0.7647058823529411,0.4,1.0,0.7078431372549019
2.20,0.6666666666666666,0.7647058823529411,0.4,1.0,0.7078431372549019
2.30,0.6666666666666666,0.7647058823529411,0.4,1.0,0.7078431372549019
2.40,0.6666666666666666,0.7647058823529411,0.4,1.0,0.7078431372549019
2.50,0.6666666666666666,0.7058823529411765,0.4,1.0,0.6931372549019608
2.60,0.6666666666666666,0.7058823529411765,0.4,1.0,0.6931372549019608
2.70,0.6666666666666666,0.7058823529411765,0.4,1.0,0.6931372549019608
2.80,0.6666666666666666,0.7058823529411765,0.4,1.0,0.6931372549019608
2.90,0.6666666666666666,0.7058823529411765,0.4,1.0,0.6931372549019608
3.00,0.6666666666666666,0.6470588235294118,0.4,1.0,0.6784313725490196
3.10,0.6666666666666666,0.6470588235294118,0.4,1.0,0.6784313725490196
3.20,0.6666666666666666,0.6470588235294118,0.4,1.0,0.6784313725490196
3.30,0.6190476190476191,0.6470588235294118,0.4,1.0,0.6665266106442577
3.40,0.6190476190476191,0.6470588235294118,0.4,1.0,0.6665266106442577
3.50,0.5714285714285714,0.6470588235294118,0.4,1.0,0.6546218487394958
3.60,0.5714285714285714,0.6470588235294118,0.4,1.0,0.6546218487394958
3.70,0.5714285714285714,0.6470588235294118,0.4,1.0,0.6546218487394958
3.80,0.5714285714285714,0.5882352941176471,0.4,1.0,0.6399159663865546
3.90,0.5714285714285714,0.5882352941176471,0.4,1.0,0.6399159663865546
4.00,0.5238095238095238,0.5882352941176471,0.4,1.0,0.6280112044817927
4.10,0.5238095238095238,0.5882352941176471,0.4,1.0,0.6280112044817927
4.20,0.47619047619047616,0.5294117647058824,0.4,1.0,0.6014005602240896
4.30,0.47619047619047616,0.5294117647058824,0.4,1.0,0.6014005602240896
4.40,0.47619047619047616,0.5294117647058824,0.4,1.0,0.6014005602240896
4.50,0.47619047619047616,0.5294117647058824,0.4,1.0,0.6014005602240896
4.60,0.47619047619047616,0.5294117647058824,0.4,1.0,0.6014005602240896
4.70,0.42857142857142855,0.35294117647058826,0.2,1.0,0.4953781512605042
4.80,0.42857142857142855,0.35294117647058826,0.2,1.0,0.4953781512605042
4.90,0.42857142857142855,0.29411764705882354,0.2,1.0,0.48067226890756304
5.00,0.38095238095238093,0.23529411764705882,0.2,1.0,0.45406162464985994
5.10,0.3333333333333333,0.17647058823529413,0.2,1.0,0.42745098039215684
5.20,0.3333333333333333,0.17647058823529413,0.2,1.0,0.42745098039215684
5.30,0.3333333333333333,0.17647058823529413,0.2,1.0,0.42745098039215684
5.40,0.3333333333333333,0.17647058823529413,0.2,0.0,0.17745098039215684
5.50,0.3333333333333333,0.17647058823529413,0.2,0.0,0.17745098039215684
5.60,0.3333333333333333,0.17647058823529413,0.2,0.0,0.17745098039215684
5.70,0.2857142857142857,0.11764705882352941,0.2,0.0,0.1508403361344538
5.80,0.2857142857142857,0.11764705882352941,0.2,0.0,0.1508403361344538
5.90,0.23809523809523808,0.058823529411764705,0.2,0.0,0.1242296918767507
6.00,0.23809523809523808,0.058823529411764705,0.2,0.0,0.1242296918767507
6.10,0.23809523809523808,0.0,0.0,0.0,0.05952380952380952
6.20,0.14285714285714285,0.0,0.0,0.0,0.03571428571428571
6.30,0.09523809523809523,0.0,0.0,0.0,0.023809523809523808
6.40,0.0,0.0,0.0,0.0,0.0
6.50,0.0,0.0,0.0,0.0,0.0
6.60,0.0,0.0,0.0,0.0,0.0
6.70,0.0,0.0,0.0,0.0,0.0
6.80,0.0,0.0,0.0,0.0,0.0
6.90,0.0,0.0,0.0,0.0,0.0
7.00,0.0,0.0,0.0,0.0,0.0
