Threshold,1 Permission,2 Permission,3 Permission,4 Permission,Combined
1.00,0.46315789473684205,0.1976839826839827,0.12803571428571428,0.14285714285714282,0.23293368364092046
1.10,0.4578947368421053,0.21956709956709958,0.13624999999999998,0.14285714285714282,0.2391422448165869
1.20,0.4578947368421053,0.21004329004329003,0.11714285714285715,0.14285714285714282,0.23198450672134882
1.30,0.4631578947368421,0.23281385281385286,0.13392857142857142,0.14285714285714282,0.2431893654591023
1.40,0.46842105263157896,0.214025974025974,0.12726190476190474,0.14285714285714282,0.2381415185691501
1.50,0.46842105263157896,0.23174868990658465,0.13857142857142857,0.16666666666666669,0.25135195944406474
1.60,0.46842105263157896,0.22869674185463656,0.13805860805860803,0.19999999999999998,0.2587941006362059
1.70,0.49444444444444446,0.22427318295739349,0.14267399267399267,0.25,0.2778479050189577
1.80,0.4833333333333334,0.205,0.13333333333333336,0.25,0.2679166666666667
1.90,0.46862745098039216,0.25875128998968006,0.17115384615384616,0.25,0.2871331467809796
2.00,0.5022875816993465,0.24349175635166342,0.1685897435897436,0.25,0.29109227041018837
2.10,0.49379084967320264,0.25983180991694926,0.16736596736596737,0.25,0.2927471567390298
2.20,0.4973856209150327,0.26849673202614377,0.1636946386946387,0.25,0.2948942479089538
2.30,0.5196078431372548,0.33898692810457515,0.1392191142191142,0.25,0.31195347136523605
2.40,0.46568627450980393,0.33830047403576813,0.21444444444444444,0.33333333333333337,0.3379411315808375
2.50,0.43888888888888883,0.33430402930402936,0.18555555555555556,0.33333333333333337,0.3230204517704518
2.60,0.5029820261437908,0.32238553113553114,0.19222222222222224,0.33333333333333337,0.33773077820871944
2.70,0.5084967320261438,0.3741908091908092,0.17694444444444443,0.33333333333333337,0.3482413297486827
2.80,0.48492647058823535,0.24919580419580417,0.17194444444444446,0.33333333333333337,0.30985001314045435
2.90,0.4973856209150327,0.3095054945054945,0.2023015873015873,0.5,0.3772981756805286
3.00,0.47755718954248366,0.43858391608391606,0.17880952380952383,0.5,0.39873765735898087
3.10,0.4967873303167421,0.42005050505050506,0.2013888888888889,0.5,0.40455668106403403
3.20,0.482223658694247,0.4336363636363637,0.13154761904761902,0.5,0.38685191034455746
3.30,0.4378908101702219,0.4727039627039627,0.12428571428571429,0.5,0.3837201217899747
3.40,0.50121336996337,0.4538888888888889,0.13976190476190473,0.5,0.3987160409035409
3.50,0.48061938061938064,0.3893434343434343,0.1482142857142857,0.5,0.37954427516927514
3.60,0.45130536130536136,0.4269696969696969,0.2066666666666667,0.5,0.39623543123543126
3.70,0.5235780885780885,0.4857287157287157,0.18333333333333332,0.5,0.4231600344100344
3.80,0.47354728604728596,0.4749206349206349,0.19190476190476188,0.5,0.4100931707181707
3.90,0.500909090909091,0.44452380952380943,0.1895238095238095,1.0,0.5337391774891775
4.00,0.44712481962481954,0.5496825396825397,0.23166666666666663,1.0,0.5571185064935065
4.10,0.49340909090909085,0.5809920634920636,0.24333333333333335,1.0,0.579433621933622
4.20,0.5293434343434343,0.5480952380952381,0.24333333333333335,1.0,0.5801930014430015
4.30,0.5572619047619047,0.5945238095238096,0.3283333333333333,1.0,0.6200297619047619
4.40,0.5829545454545454,0.5761904761904761,0.31166666666666665,1.0,0.617702922077922
4.50,0.5522438672438673,0.5440476190476191,0.375,1.0,0.6178228715728716
4.60,0.6038492063492064,0.468095238095238,0.4666666666666666,1.0,0.6346527777777777
4.70,0.6176190476190476,0.5883333333333334,0.5,1.0,0.6764880952380953
4.80,0.6383333333333333,0.74,0.5,1.0,0.7195833333333334
4.90,0.615,0.5333333333333333,0.5,1.0,0.6620833333333334
5.00,0.635,0.5333333333333333,0.5,1.0,0.6670833333333334
5.10,0.6383333333333332,0.4499999999999999,0.4,1.0,0.6220833333333333
5.20,0.63,0.4666666666666666,0.3,1.0,0.5991666666666666
5.30,0.7433333333333334,0.5,0.4,1.0,0.6608333333333334
5.40,0.7216666666666667,0.1,0.15,1.0,0.49291666666666667
5.50,0.675,0.05,1.0,1.0,0.68125
5.60,0.7016666666666668,0.3,1.0,1.0,0.7504166666666667
5.70,0.7766666666666667,0.0,1.0,1.0,0.6941666666666667
5.80,0.86,0.0,1.0,1.0,0.715
5.90,0.7350000000000001,1.0,1.0,1.0,0.9337500000000001
6.00,0.7366666666666666,1.0,1.0,1.0,0.9341666666666666
6.10,0.7266666666666667,1.0,1.0,1.0,0.9316666666666666
6.20,0.7333333333333333,1.0,1.0,1.0,0.9333333333333333
6.30,0.65,1.0,1.0,1.0,0.9125
6.40,1.0,1.0,1.0,1.0,1.0
6.50,1.0,1.0,1.0,1.0,1.0
6.60,1.0,1.0,1.0,1.0,1.0
6.70,1.0,1.0,1.0,1.0,1.0
6.80,1.0,1.0,1.0,1.0,1.0
6.90,1.0,1.0,1.0,1.0,1.0
7.00,1.0,1.0,1.0,1.0,1.0
